Arsenal,Arsenal FC
Chelsea,Chelsea FC
Liverpool,Liverpool FC
Tottenham,Tottenham Hotspur
Deportivo,Deportivo de La Coruña
Celta Vigo,Celta De Vigo
Valencia,Valencia CF
Barcelona,FC Barcelona
Villarreal,Villarreal CF
Real Betis,Real Betis Balompié
Sevilla,Sevilla FC
Málaga,Málaga CF
Porto,FC Porto
Benfica,SL Benfica
Sporting Lisbon,Sporting CP
Braga,SC Braga
Ajax,Ajax Amsterdam
Feyenoord,Feyenoord Rotterdam
Twente,FC Twente
Internazionale,Inter
Milan,AC Milan
Lazio,SS Lazio
Roma,AS Roma
Udinese,Udinese Calcio
Fiorentina,ACF Fiorentina
Napoli,SSC Napoli
Lyon,Olympique Lyon
Monaco,AS Monaco
Marseille,Olympique Marseille
Bordeaux,Girondins Bordeaux
Auxerre,AJ Auxerre
Lille,LOSC Lille
Rennes,Stade Rennais FC
Montpellier,Montpellier HSC
Werder Bremen,SV Werder Bremen
Bayern München,Bayern Munich
Stuttgart,VfB Stuttgart
Schalke 04,FC Schalke 04
Hamburg,Hamburger SV
Wolfsburg,VfL Wolfsburg
Dortmund,Borussia Dortmund
Mönchengladbach,Borussia Mönchengladbach
Leipzig,RB Leipzig
Hoffenheim,TSG 1899 Hoffenheim